"","sample","reads","Method","Island","Year","ID","Date.Collected","Size","Extract..Date","Sterilized","Source"
"1","HEV07",3,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",15.5,"3/14/18","SS","LAB"
"2","HEV10",28,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",16.9,"3/14/18","SS","LAB"
"3","HEV11",18,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",17.6,"3/14/18","SS","LAB"
"4","HEV12",247,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",17.8,"3/14/18","SS","LAB"
"5","HEV13",143,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",18.6,"3/14/18","SS","LAB"
"6","HEV14",126,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",18.8,"3/14/18","SS","LAB"
"7","HEV15",73,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",20.2,"3/14/18","NS","LAB"
"8","HEV16",199,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",20.9,"3/14/18","SS","LAB"
"9","HEV17",84,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",21,"3/14/18","NS","LAB"
"10","HEV18",35,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",21.1,"3/14/18","NS","LAB"
"11","HEV20",53,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",21.4,"3/14/18","NS","LAB"
"12","HEV21",105,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",22.1,"3/14/18","NS","LAB"
"13","HEV22",77,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",22.6,"3/14/18","NS","LAB"
"14","HEV23",3,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",24.3,"3/14/18","NS","LAB"
"15","HEV24",1073,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",24.3,"3/14/18","NS","LAB"
"16","HEV25",550,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",24.6,"3/14/18","NS","LAB"
"17","HEV26",82,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",24.7,"3/14/18","NS","LAB"
"18","HEV27",336,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",25.4,"3/14/18","SS","LAB"
"19","HEV29",233,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",27.5,"3/14/18","NS","LAB"
