Query ID,ID,Level,Kingdom,Phylum,Class,Order,Family,Genus,Species,,
Zotu7,Oxya,Genus,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Oxya,,,
Zotu126,Anchiphiloscia pilosa,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Philosciidae,Anchiphiloscia,Anchiphiloscia pilosa,,
Zotu6,Anisolabis maritima,Species,Animalia,Arthropoda,Insecta,Dermaptera,Anisolabididae,Anisolabis,Anisolabis maritima,,
Zotu119,Aspergillus niger,Species,Fungi,,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus niger,,
Zotu23,Conoderus pallipes,Species,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Conoderus,Conoderus pallipes,,
Zotu43,Diploptera punctata,Species,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Diploptera,Diploptera punctata,,
Zotu85,Fusarium babinda,Species,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium babinda,,
Zotu135,Fusarium avenaceum,Species,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium avenaceum,,
Zotu13,Hasarius adansoni,Species,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hasarius,Hasarius adansoni,,
Zotu1,Heteropoda venatoria,Species,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,Heteropoda venatoria,,
Zotu10,Heteropoda venatoria,Species,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,Heteropoda venatoria,,
Zotu15,Heteropoda venatoria,Species,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,Heteropoda venatoria,,
Zotu27,Heteropoda venatoria,Species,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,Heteropoda venatoria,,
Zotu30,Heteropoda venatoria,Species,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,Heteropoda venatoria,,
Zotu39,Heteropoda venatoria,Species,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,Heteropoda venatoria,,
Zotu59,Heteropoda venatoria,Species,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,Heteropoda venatoria,,
Zotu64,Heteropoda venatoria,Species,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,Heteropoda venatoria,,
Zotu84,Heteropoda venatoria,Species,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,Heteropoda venatoria,,
Zotu148,Heteropoda venatoria,Species,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,Heteropoda venatoria,,
Zotu121,Isometrus maculatus,Species,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Isometrus,Isometrus maculatus,,
Zotu55,Lepidodactylus lugubris,Species,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Lepidodactylus,Lepidodactylus lugubris,,
Zotu87,Limonia perkinsi,Species,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Limonia,Limonia perkinsi,,
Zotu19,Mus musculus,Species,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,,
Zotu54,Mus musculus,Species,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,,
Zotu111,Neurospora crassa,Species,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora crassa,,
Zotu81,Ornebius novarae,Species,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae,,
